RelativeTime(sec)	ID1-Accerlation-X(G)	ID1-Accerlation-Y(G)	ID1-Accerlation-Z(G)	ID2-Accerlation-X(G)	ID2-Accerlation-Y(G)	ID2-Accerlation-Z(G)	ID3-Accerlation-X(G)	ID3-Accerlation-Y(G)	ID3-Accerlation-Z(G)	Pressure-1(bar)	Pressure-2(bar)	Pressure-3(bar)	Pressure-4(bar)	Pressure-5(bar)	Pressure-6(bar)	Pressure-7(bar)	Pressure-8(bar)	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
0.006	0.000	0.000	0.000	0.030	-0.065	0.940	0.004	-0.073	1.002	
0.012	0.022	0.130	0.980	0.031	-0.068	0.936	0.003	-0.073	0.998	
0.017	0.020	0.127	0.979	0.030	-0.066	0.942	0.005	-0.069	0.998	
0.021	0.017	0.125	0.986	0.033	-0.067	0.941	0.004	-0.071	1.001	
0.027	0.017	0.128	0.983	0.032	-0.066	0.943	0.005	-0.069	0.999	
0.031	0.019	0.125	0.982	0.033	-0.067	0.949	0.006	-0.069	1.003	
0.036	0.017	0.123	0.984	0.032	-0.069	0.937	0.005	-0.073	1.000	
0.041	0.020	0.128	0.981	0.031	-0.069	0.936	0.002	-0.069	1.004	
0.047	0.018	0.126	0.982	0.031	-0.068	0.942	0.004	-0.073	1.005	
0.052	0.019	0.130	0.980	0.033	-0.068	0.934	0.002	-0.074	1.005	
0.056	0.022	0.125	0.983	0.031	-0.069	0.940	0.002	-0.073	1.008	
0.062	0.018	0.126	0.987	0.034	-0.065	0.939	0.007	-0.071	1.003	
0.066	0.022	0.124	0.975	0.031	-0.070	0.940	0.003	-0.073	1.000	
0.072	0.020	0.129	0.976	0.033	-0.069	0.937	0.001	-0.072	0.997	
0.076	0.020	0.127	0.983	0.033	-0.070	0.932	0.006	-0.072	1.001	
0.082	0.017	0.127	0.984	0.032	-0.067	0.941	0.003	-0.074	1.002	
0.086	0.019	0.127	0.980	0.033	-0.069	0.932	0.008	-0.071	1.004	
0.092	0.020	0.126	0.982	0.033	-0.067	0.943	0.005	-0.072	1.003	
0.096	0.021	0.127	0.981	0.033	-0.065	0.941	0.005	-0.068	0.996	
0.102	0.021	0.126	0.981	0.029	-0.067	0.937	0.002	-0.073	0.996	
0.106	0.018	0.124	0.984	0.031	-0.066	0.934	0.002	-0.071	0.997	
0.112	0.016	0.127	0.982	0.035	-0.067	0.939	0.006	-0.067	1.011	
0.116	0.019	0.130	0.983	0.034	-0.070	0.934	0.006	-0.067	1.006	
0.122	0.017	0.125	0.979	0.035	-0.070	0.936	0.005	-0.069	1.003	
0.126	0.017	0.128	0.985	0.029	-0.062	0.933	0.003	-0.069	1.004	
0.132	0.017	0.125	0.983	0.029	-0.068	0.937	0.006	-0.071	0.999	
0.136	0.020	0.128	0.985	0.031	-0.068	0.939	0.005	-0.072	1.001	
0.142	0.017	0.128	0.982	0.032	-0.068	0.938	0.004	-0.072	1.004	
0.146	0.017	0.128	0.987	0.033	-0.066	0.943	0.002	-0.071	1.002	
0.152	0.018	0.129	0.983	0.031	-0.069	0.938	0.006	-0.071	0.998	
0.156	0.015	0.126	0.981	0.030	-0.067	0.939	0.005	-0.069	1.002	
0.162	0.018	0.129	0.984	0.033	-0.064	0.939	0.007	-0.070	1.003	
0.166	0.018	0.128	0.979	0.030	-0.064	0.938	0.004	-0.070	1.001	
0.172	0.020	0.127	0.985	0.032	-0.068	0.940	0.007	-0.076	1.002	
0.176	0.019	0.127	0.979	0.034	-0.067	0.937	0.006	-0.074	0.996	
0.182	0.021	0.126	0.982	0.032	-0.066	0.933	0.005	-0.069	1.000	
0.186	0.018	0.128	0.980	0.029	-0.065	0.939	0.001	-0.072	1.002	
0.192	0.019	0.126	0.981	0.031	-0.064	0.938	0.002	-0.071	1.002	
0.196	0.016	0.127	0.983	0.036	-0.071	0.942	0.004	-0.068	1.001	
0.202	0.022	0.126	0.981	0.034	-0.066	0.938	0.007	-0.071	0.998	
0.206	0.020	0.125	0.977	0.031	-0.064	0.934	0.007	-0.070	1.000	
0.212	0.020	0.127	0.985	0.030	-0.065	0.937	0.003	-0.072	1.002	
0.216	0.020	0.127	0.983	0.031	-0.068	0.939	0.004	-0.071	1.000	
0.222	0.019	0.127	0.980	0.036	-0.065	0.937	0.002	-0.070	1.005	
0.226	0.023	0.127	0.975	0.032	-0.070	0.938	0.004	-0.071	0.998	
0.232	0.020	0.125	0.981	0.035	-0.067	0.938	0.007	-0.074	1.002	
0.236	0.020	0.128	0.981	0.031	-0.063	0.938	0.005	-0.072	1.001	
0.242	0.019	0.129	0.986	0.037	-0.067	0.934	0.003	-0.072	1.001	
0.246	0.018	0.131	0.988	0.032	-0.068	0.938	0.008	-0.073	1.002	
0.252	0.022	0.123	0.978	0.033	-0.064	0.935	0.003	-0.065	1.000	
0.256	0.016	0.129	0.983	0.032	-0.069	0.940	0.004	-0.070	1.002	
0.262	0.018	0.127	0.983	0.033	-0.067	0.943	0.004	-0.070	0.999	
