RelativeTime(sec)	ID1-Accerlation-X(G)	ID1-Accerlation-Y(G)	ID1-Accerlation-Z(G)	ID2-Accerlation-X(G)	ID2-Accerlation-Y(G)	ID2-Accerlation-Z(G)	ID3-Accerlation-X(G)	ID3-Accerlation-Y(G)	ID3-Accerlation-Z(G)	Pressure-1(bar)	Pressure-2(bar)	Pressure-3(bar)	Pressure-4(bar)	Pressure-5(bar)	Pressure-6(bar)	Pressure-7(bar)	Pressure-8(bar)	
0.193	0.000	0.000	0.000	0.977	-0.060	0.199	-0.009	-0.006	1.000	0.183	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.197	0.000	0.000	0.000	0.980	-0.052	0.198	-0.011	-0.004	1.002	0.275	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.203	0.000	0.000	0.000	0.976	-0.057	0.202	-0.009	-0.002	0.997	0.275	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.207	0.000	0.000	0.000	0.977	-0.056	0.198	-0.012	-0.005	1.001	0.183	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.213	0.000	0.000	0.000	0.975	-0.057	0.199	-0.011	-0.004	1.001	0.183	0.000	0.000	0.000	0.000	98.195	4.030	0.000	
0.217	0.000	0.000	0.000	0.979	-0.057	0.200	-0.010	-0.006	0.998	0.092	0.000	0.000	0.000	0.000	98.287	4.030	0.000	
0.223	0.000	0.000	0.000	0.980	-0.058	0.205	-0.011	-0.003	0.997	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.228	0.000	0.000	0.000	0.974	-0.057	0.195	-0.013	-0.005	0.999	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.232	0.000	0.000	0.000	0.975	-0.057	0.203	-0.011	-0.006	0.996	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.238	0.000	0.000	0.000	0.979	-0.056	0.200	-0.011	-0.006	1.002	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.242	0.000	0.000	0.000	0.977	-0.054	0.202	-0.009	-0.007	0.992	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.247	0.000	0.000	0.000	0.978	-0.055	0.202	-0.012	-0.004	1.000	0.183	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.252	0.000	0.000	0.000	0.978	-0.055	0.202	-0.010	-0.007	0.997	0.183	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.257	0.000	0.000	0.000	0.979	-0.052	0.200	-0.011	-0.008	1.001	0.183	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.262	0.000	0.000	0.000	0.983	-0.053	0.204	-0.011	-0.004	1.000	0.183	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.267	0.000	0.000	0.000	0.977	-0.053	0.197	-0.010	-0.005	1.000	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.273	0.000	0.000	0.000	0.978	-0.055	0.198	-0.009	-0.005	0.999	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.277	0.000	0.000	0.000	0.980	-0.055	0.199	-0.011	-0.006	0.996	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.283	0.000	0.000	0.000	0.978	-0.056	0.196	-0.010	-0.005	0.999	0.092	0.000	0.000	0.000	0.000	98.378	4.030	0.000	
0.288	0.000	0.000	0.000	0.977	-0.055	0.201	-0.008	-0.004	0.998	0.092	0.000	0.000	0.000	0.000	98.287	4.030	0.000	
0.292	0.000	0.000	0.000	0.976	-0.052	0.199	-0.013	-0.004	0.996	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.298	0.000	0.000	0.000	0.979	-0.055	0.204	-0.009	-0.007	1.001	0.366	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.302	0.000	0.000	0.000	0.977	-0.050	0.199	-0.010	-0.005	0.996	0.366	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.308	0.000	0.000	0.000	0.977	-0.055	0.199	-0.010	-0.005	1.000	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.312	0.000	0.000	0.000	0.979	-0.055	0.201	-0.011	-0.008	0.998	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.318	0.000	0.000	0.000	0.982	-0.053	0.201	-0.009	-0.007	0.996	0.183	0.000	0.000	0.000	0.000	98.104	3.939	0.000	
0.322	0.000	0.000	0.000	0.977	-0.055	0.200	-0.011	-0.007	1.002	0.183	0.000	0.000	0.000	0.000	98.104	3.939	0.000	
0.328	0.000	0.000	0.000	0.979	-0.057	0.198	-0.007	-0.007	0.996	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.332	0.000	0.000	0.000	0.979	-0.055	0.200	-0.013	-0.004	0.999	0.092	0.000	0.000	0.000	0.000	98.287	4.030	0.000	
0.338	0.000	0.000	0.000	0.976	-0.055	0.199	-0.012	-0.008	1.001	0.000	0.000	0.000	0.000	0.000	98.287	4.030	0.000	
0.343	0.000	0.000	0.000	0.980	-0.054	0.198	-0.011	-0.006	0.998	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.347	0.000	0.000	0.000	0.980	-0.056	0.198	-0.010	-0.005	0.993	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.352	0.000	0.000	0.000	0.978	-0.055	0.198	-0.007	-0.006	1.003	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.358	0.000	0.000	0.000	0.978	-0.058	0.194	-0.013	-0.006	0.997	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.362	0.000	0.000	0.000	0.978	-0.056	0.195	-0.010	-0.008	0.999	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
