RelativeTime(sec)	ID1-Accerlation-X(G)	ID1-Accerlation-Y(G)	ID1-Accerlation-Z(G)	ID2-Accerlation-X(G)	ID2-Accerlation-Y(G)	ID2-Accerlation-Z(G)	ID3-Accerlation-X(G)	ID3-Accerlation-Y(G)	ID3-Accerlation-Z(G)	Pressure-1(bar)	Pressure-2(bar)	Pressure-3(bar)	Pressure-4(bar)	Pressure-5(bar)	Pressure-6(bar)	Pressure-7(bar)	Pressure-8(bar)	
0.000	0.000	0.000	0.000	0.976	-0.055	0.201	-0.010	-0.006	0.997	0.183	0.000	0.000	0.000	0.000	97.920	3.847	0.000	
0.002	0.000	0.000	0.000	0.976	-0.055	0.201	-0.010	-0.006	0.997	0.183	0.000	0.000	0.000	0.000	97.920	3.847	0.000	
0.006	0.000	0.000	0.000	0.973	-0.056	0.206	-0.011	-0.005	1.002	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.012	0.000	0.000	0.000	0.978	-0.054	0.200	-0.008	-0.005	1.001	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.016	0.000	0.000	0.000	0.976	-0.056	0.205	-0.009	-0.006	0.998	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.022	0.000	0.000	0.000	0.978	-0.059	0.203	-0.012	-0.007	0.997	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.026	0.000	0.000	0.000	0.978	-0.054	0.204	-0.009	-0.005	0.993	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.032	0.000	0.000	0.000	0.975	-0.054	0.200	-0.011	-0.003	1.000	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.036	0.000	0.000	0.000	0.978	-0.055	0.201	-0.010	-0.004	1.000	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.042	0.000	0.000	0.000	0.976	-0.057	0.201	-0.009	-0.006	1.006	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.046	0.000	0.000	0.000	0.977	-0.052	0.201	-0.008	-0.007	1.000	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.051	0.000	0.000	0.000	0.977	-0.055	0.199	-0.009	-0.004	0.997	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.057	0.000	0.000	0.000	0.980	-0.057	0.202	-0.012	-0.006	1.002	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.061	0.000	0.000	0.000	0.978	-0.055	0.201	-0.010	-0.007	1.000	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.066	0.000	0.000	0.000	0.979	-0.053	0.200	-0.011	-0.007	0.995	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.072	0.000	0.000	0.000	0.980	-0.051	0.204	-0.013	-0.006	1.005	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.076	0.000	0.000	0.000	0.974	-0.057	0.203	-0.009	-0.005	0.999	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.082	0.000	0.000	0.000	0.976	-0.056	0.200	-0.009	-0.004	1.002	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.087	0.000	0.000	0.000	0.976	-0.053	0.200	-0.014	-0.002	1.001	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
0.091	0.000	0.000	0.000	0.977	-0.056	0.205	-0.010	-0.007	0.999	0.000	0.000	0.000	0.000	0.000	0.000	4.030	0.000	
